el,sc,obs_wl,unc_obs_wl,calc_wl,unc_calc_wn,intens,c1,t1,j1,g1,c2,t2,j2,g2,rem,A,osc_str,line_str,log_gf,Accur,type,tp_ref,line_ref,low_level_id,upp_level_id,line_id
N,2,,,905.274,,,2s.2p3,3D*,2,5,2s2.2p.4p,3D,1,3,,1.01e+07,7.45e-04,1.11e-02,-2.429,D,,T6385,,007002.000022,007002.000061,38095
N,2,,,905.286,,,2s.2p3,3D*,1,3,2s2.2p.4p,3D,1,3,,7.00e+06,8.60e-04,7.69e-03,-2.588,D,,T6385,,007002.000023,007002.000061,38093
N,2,,,909.762,,,2s.2p3,3D*,1,3,2s2.2p.4p,1P,1,3,,3.82e+05,4.74e-05,4.26e-04,-3.847,D,,T6385,,007002.000023,007002.000060,38090
N,2,915.612,,915.612,,450,2s2.2p2,3P,0,1,2s.2p3,3P*,1,3,,4.23e+08,1.59e-01,4.80e-01,-0.798,A,,T7333,L3513,007002.000001,007002.000024,36807
N,2,915.962,,915.962,,450,2s2.2p2,3P,1,3,2s.2p3,3P*,0,1,,1.27e+09,5.34e-02,4.83e-01,-0.796,A,,T7333,L3513,007002.000016,007002.000026,36808
N,2,916.012,,916.012,,550,2s2.2p2,3P,1,3,2s.2p3,3P*,2,5,,3.14e+08,6.58e-02,5.95e-01,-0.705,A,,T7333,L3513,007002.000016,007002.000025,36809
N,2,,,916.020,,,2s2.2p2,3P,1,3,2s.2p3,3P*,1,3,,3.21e+08,4.04e-02,3.66e-01,-0.916,A,,T7333,,007002.000016,007002.000024,37983
N,2,916.701,,916.701,,650,2s2.2p2,3P,2,5,2s.2p3,3P*,2,5,,9.55e+08,1.20e-01,1.82e+00,-0.221,A,,T7333,L3513,007002.000017,007002.000025,36810
N,2,,,916.710,,,2s2.2p2,3P,2,5,2s.2p3,3P*,1,3,,5.27e+08,3.99e-02,6.01e-01,-0.701,A,,T7333,,007002.000017,007002.000024,37984
N,2,,,974.554,,,2s.2p3,3P*,1,3,2s.2p2.(4P).3s,3P,2,5,,4.41e+07,1.05e-02,1.01e-01,-1.503,C,,T6385n,,007002.000024,007002.000099,38146
N,2,,,974.563,,,2s.2p3,3P*,2,5,2s.2p2.(4P).3s,3P,2,5,,1.33e+08,1.89e-02,3.04e-01,-1.024,C,,T6385n,,007002.000025,007002.000099,38142
N,2,,,975.012,,,2s.2p3,3P*,1,3,2s.2p2.(4P).3s,3P,1,3,,4.50e+07,6.41e-03,6.18e-02,-1.716,C,,T6385n,,007002.000024,007002.000098,38143
N,2,,,975.021,,,2s.2p3,3P*,2,5,2s.2p2.(4P).3s,3P,1,3,,7.27e+07,6.22e-03,9.98e-02,-1.507,C,,T6385n,,007002.000025,007002.000098,38144
N,2,,,975.078,,,2s.2p3,3P*,0,1,2s.2p2.(4P).3s,3P,1,3,,5.92e+07,2.53e-02,8.13e-02,-1.597,C,,T6385n,,007002.000026,007002.000098,38147
N,2,,,975.298,,,2s.2p3,3P*,1,3,2s.2p2.(4P).3s,3P,0,1,,1.77e+08,8.41e-03,8.10e-02,-1.598,C,,T6385n,,007002.000024,007002.000097,38145
N,2,,,1060.209,,,2s.2p3,3P*,1,3,2s2.2p.4p,3S,1,3,,3.82e+07,6.44e-03,6.74e-02,-1.714,C,,T6385,,007002.000024,007002.000067,38140
N,2,,,1060.220,,,2s.2p3,3P*,2,5,2s2.2p.4p,3S,1,3,,3.95e+07,3.99e-03,6.97e-02,-1.700,C,,T6385,,007002.000025,007002.000067,38139
